Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,"$1,618.50 ",$3.00 ,$20.00 ,"$32,370.00 ",0,"$32,370.00 ","$16,185.00 ",16185,1/1/2014,1, January ,2014
Government,Germany, Carretera , None ,"$1,321.00 ",$3.00 ,$20.00 ,"$26,420.00 ", $-   ,"$26,420.00 ","$13,210.00 ",13210,1/1/2014,1, January ,2014
Midmarket,France, Carretera , None ,"$2,178.00 ",$3.00 ,$15.00 ,"$32,670.00 ", $-   ,"$32,670.00 ","$21,780.00 ",10890,6/1/2014,6, June ,2014
Midmarket,Germany, Carretera , None ,$888.00 ,$3.00 ,$15.00 ,"$13,320.00 ", $-   ,"$13,320.00 ","$8,880.00 ",4440,6/1/2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,"$2,470.00 ",$3.00 ,$15.00 ,"$37,050.00 ", $-   ,"$37,050.00 ","$24,700.00 ",12350,6/1/2014,6, June ,2014
Government,Germany, Carretera , None ,"$1,513.00 ",$3.00 ,$350.00 ,"$529,550.00 ", $-   ,"$529,550.00 ","$393,380.00 ",136170,12/1/2014,12, December ,2014
Midmarket,Germany, Montana , None ,$921.00 ,$5.00 ,$15.00 ,"$13,815.00 ", $-   ,"$13,815.00 ","$9,210.00 ",4605,3/1/2014,3, March ,2014
Channel Partners,Canada, Montana , None ,"$2,518.00 ",$5.00 ,$12.00 ,"$30,216.00 ", $-   ,"$30,216.00 ","$7,554.00 ",22662,6/1/2014,6, June ,2014
Government,France, Montana , None ,"$1,899.00 ",$5.00 ,$20.00 ,"$37,980.00 ", $-   ,"$37,980.00 ","$18,990.00 ",18990,6/1/2014,6, June ,2014
Channel Partners,Germany, Montana , None ,"$1,545.00 ",$5.00 ,$12.00 ,"$18,540.00 ", $-   ,"$18,540.00 ","$4,635.00 ",13905,6/1/2014,6, June ,2014
Midmarket,Mexico, Montana , None ,"$2,470.00 ",$5.00 ,$15.00 ,"$37,050.00 ", $-   ,"$37,050.00 ","$24,700.00 ",12350,6/1/2014,6, June ,2014
Enterprise,Canada, Montana , None ,"$2,665.50 ",$5.00 ,$125.00 ,"$333,187.50 ", $-   ,"$333,187.50 ","$319,860.00 ",13327.5,7/1/2014,7, July ,2014
Small Business,Mexico, Montana , None ,$958.00 ,$5.00 ,$300.00 ,"$287,400.00 ", $-   ,"$287,400.00 ","$239,500.00 ",47900,8/1/2014,8, August ,2014
Government,Germany, Montana , None ,"$2,146.00 ",$5.00 ,$7.00 ,"$15,022.00 ", $-   ,"$15,022.00 ","$10,730.00 ",4292,9/1/2014,9, September ,2014
Enterprise,Canada, Montana , None ,$345.00 ,$5.00 ,$125.00 ,"$43,125.00 ", $-   ,"$43,125.00 ","$41,400.00 ",1725,10/1/2013,10, October ,2013
Midmarket,United States of America, Montana , None ,$615.00 ,$5.00 ,$15.00 ,"$9,225.00 ", $-   ,"$9,225.00 ","$6,150.00 ",3075,12/1/2014,12, December ,2014
Government,Canada, Paseo , None ,$292.00 ,$10.00 ,$20.00 ,"$5,840.00 ", $-   ,"$5,840.00 ","$2,920.00 ",2920,2/1/2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,$974.00 ,$10.00 ,$15.00 ,"$14,610.00 ", $-   ,"$14,610.00 ","$9,740.00 ",4870,2/1/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,"$2,518.00 ",$10.00 ,$12.00 ,"$30,216.00 ", $-   ,"$30,216.00 ","$7,554.00 ",22662,6/1/2014,6, June ,2014
Government,Germany, Paseo , None ,"$1,006.00 ",$10.00 ,$350.00 ,"$352,100.00 ", $-   ,"$352,100.00 ","$261,560.00 ",90540,6/1/2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,$367.00 ,$10.00 ,$12.00 ,"$4,404.00 ", $-   ,"$4,404.00 ","$1,101.00 ",3303,7/1/2014,7, July ,2014
Government,Mexico, Paseo , None ,$883.00 ,$10.00 ,$7.00 ,"$6,181.00 ", $-   ,"$6,181.00 ","$4,415.00 ",1766,8/1/2014,8, August ,2014
Midmarket,France, Paseo , None ,$549.00 ,$10.00 ,$15.00 ,"$8,235.00 ", $-   ,"$8,235.00 ","$5,490.00 ",2745,9/1/2013,9, September ,2013
Small Business,Mexico, Paseo , None ,$788.00 ,$10.00 ,$300.00 ,"$236,400.00 ", $-   ,"$236,400.00 ","$197,000.00 ",39400,9/1/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,"$2,472.00 ",$10.00 ,$15.00 ,"$37,080.00 ", $-   ,"$37,080.00 ","$24,720.00 ",12360,9/1/2014,9, September ,2014
Government,United States of America, Paseo , None ,"$1,143.00 ",$10.00 ,$7.00 ,"$8,001.00 ", $-   ,"$8,001.00 ","$5,715.00 ",2286,10/1/2014,10, October ,2014
Government,Canada, Paseo , None ,"$1,725.00 ",$10.00 ,$350.00 ,"$603,750.00 ", $-   ,"$603,750.00 ","$448,500.00 ",155250,11/1/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,$912.00 ,$10.00 ,$12.00 ,"$10,944.00 ", $-   ,"$10,944.00 ","$2,736.00 ",8208,11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , None ,"$2,152.00 ",$10.00 ,$15.00 ,"$32,280.00 ", $-   ,"$32,280.00 ","$21,520.00 ",10760,12/1/2013,12, December ,2013
Government,Canada, Paseo , None ,"$1,817.00 ",$10.00 ,$20.00 ,"$36,340.00 ", $-   ,"$36,340.00 ","$18,170.00 ",18170,12/1/2014,12, December ,2014
Government,Germany, Paseo , None ,"$1,513.00 ",$10.00 ,$350.00 ,"$529,550.00 ", $-   ,"$529,550.00 ","$393,380.00 ",136170,12/1/2014,12, December ,2014
Government,Mexico, Velo , None ,"$1,493.00 ",$120.00 ,$7.00 ,"$10,451.00 ", $-   ,"$10,451.00 ","$7,465.00 ",2986,1/1/2014,1, January ,2014
Enterprise,France, Velo , None ,"$1,804.00 ",$120.00 ,$125.00 ,"$225,500.00 ", $-   ,"$225,500.00 ","$216,480.00 ",9020,2/1/2014,2, February ,2014
Channel Partners,Germany, Velo , None ,"$2,161.00 ",$120.00 ,$12.00 ,"$25,932.00 ", $-   ,"$25,932.00 ","$6,483.00 ",19449,3/1/2014,3, March ,2014
Government,Germany, Velo , None ,"$1,006.00 ",$120.00 ,$350.00 ,"$352,100.00 ", $-   ,"$352,100.00 ","$261,560.00 ",90540,6/1/2014,6, June ,2014
Channel Partners,Germany, Velo , None ,"$1,545.00 ",$120.00 ,$12.00 ,"$18,540.00 ", $-   ,"$18,540.00 ","$4,635.00 ",13905,6/1/2014,6, June ,2014
Enterprise,United States of America, Velo , None ,"$2,821.00 ",$120.00 ,$125.00 ,"$352,625.00 ", $-   ,"$352,625.00 ","$338,520.00 ",14105,8/1/2014,8, August ,2014
Enterprise,Canada, Velo , None ,$345.00 ,$120.00 ,$125.00 ,"$43,125.00 ", $-   ,"$43,125.00 ","$41,400.00 ",1725,10/1/2013,10, October ,2013
Small Business,Canada, VTT , None ,"$2,001.00 ",$250.00 ,$300.00 ,"$600,300.00 ", $-   ,"$600,300.00 ","$500,250.00 ",100050,2/1/2014,2, February ,2014
Channel Partners,Germany, VTT , None ,"$2,838.00 ",$250.00 ,$12.00 ,"$34,056.00 ", $-   ,"$34,056.00 ","$8,514.00 ",25542,4/1/2014,4, April ,2014
Midmarket,France, VTT , None ,"$2,178.00 ",$250.00 ,$15.00 ,"$32,670.00 ", $-   ,"$32,670.00 ","$21,780.00 ",10890,6/1/2014,6, June ,2014
Midmarket,Germany, VTT , None ,$888.00 ,$250.00 ,$15.00 ,"$13,320.00 ", $-   ,"$13,320.00 ","$8,880.00 ",4440,6/1/2014,6, June ,2014
Government,France, VTT , None ,"$1,527.00 ",$250.00 ,$350.00 ,"$534,450.00 ", $-   ,"$534,450.00 ","$397,020.00 ",137430,9/1/2013,9, September ,2013
Small Business,France, VTT , None ,"$2,151.00 ",$250.00 ,$300.00 ,"$645,300.00 ", $-   ,"$645,300.00 ","$537,750.00 ",107550,9/1/2014,9, September ,2014
Government,Canada, VTT , None ,"$1,817.00 ",$250.00 ,$20.00 ,"$36,340.00 ", $-   ,"$36,340.00 ","$18,170.00 ",18170,12/1/2014,12, December ,2014
Government,France, Amarilla , None ,"$2,750.00 ",$260.00 ,$350.00 ,"$962,500.00 ", $-   ,"$962,500.00 ","$715,000.00 ",247500,2/1/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,"$1,953.00 ",$260.00 ,$12.00 ,"$23,436.00 ", $-   ,"$23,436.00 ","$5,859.00 ",17577,4/1/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,"$4,219.50 ",$260.00 ,$125.00 ,"$527,437.50 ", $-   ,"$527,437.50 ","$506,340.00 ",21097.5,4/1/2014,4, April ,2014
Government,France, Amarilla , None ,"$1,899.00 ",$260.00 ,$20.00 ,"$37,980.00 ", $-   ,"$37,980.00 ","$18,990.00 ",18990,6/1/2014,6, June ,2014
Government,Germany, Amarilla , None ,"$1,686.00 ",$260.00 ,$7.00 ,"$11,802.00 ", $-   ,"$11,802.00 ","$8,430.00 ",3372,7/1/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ,"$2,141.00 ",$260.00 ,$12.00 ,"$25,692.00 ", $-   ,"$25,692.00 ","$6,423.00 ",19269,8/1/2014,8, August ,2014
Government,United States of America, Amarilla , None ,"$1,143.00 ",$260.00 ,$7.00 ,"$8,001.00 ", $-   ,"$8,001.00 ","$5,715.00 ",2286,10/1/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ,$615.00 ,$260.00 ,$15.00 ,"$9,225.00 ", $-   ,"$9,225.00 ","$6,150.00 ",3075,12/1/2014,12, December ,2014
Government,France, Paseo , Low ,"$3,945.00 ",$10.00 ,$7.00 ,"$27,615.00 ",276.15,"$27,338.85 ","$19,725.00 ",7613.85,1/1/2014,1, January ,2014
Midmarket,France, Paseo , Low ,"$2,296.00 ",$10.00 ,$15.00 ,"$34,440.00 ",344.4,"$34,095.60 ","$22,960.00 ",11135.6,2/1/2014,2, February ,2014
Government,France, Paseo , Low ,"$1,030.00 ",$10.00 ,$7.00 ,"$7,210.00 ",72.1,"$7,137.90 ","$5,150.00 ",1987.9,5/1/2014,5, May ,2014
Government,France, Velo , Low ,$639.00 ,$120.00 ,$7.00 ,"$4,473.00 ",44.73,"$4,428.27 ","$3,195.00 ",1233.27,11/1/2014,11, November ,2014
Government,Canada, VTT , Low ,"$1,326.00 ",$250.00 ,$7.00 ,"$9,282.00 ",92.82,"$9,189.18 ","$6,630.00 ",2559.18,3/1/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ,"$1,858.00 ",$3.00 ,$12.00 ,"$22,296.00 ",222.96,"$22,073.04 ","$5,574.00 ",16499.04,2/1/2014,2, February ,2014
Government,Mexico, Carretera , Low ,"$1,210.00 ",$3.00 ,$350.00 ,"$423,500.00 ",4235,"$419,265.00 ","$314,600.00 ",104665,3/1/2014,3, March ,2014
Government,United States of America, Carretera , Low ,"$2,529.00 ",$3.00 ,$7.00 ,"$17,703.00 ",177.03,"$17,525.97 ","$12,645.00 ",4880.97,7/1/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ,"$1,445.00 ",$3.00 ,$12.00 ,"$17,340.00 ",173.4,"$17,166.60 ","$4,335.00 ",12831.6,9/1/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ,$330.00 ,$3.00 ,$125.00 ,"$41,250.00 ",412.5,"$40,837.50 ","$39,600.00 ",1237.5,9/1/2013,9, September ,2013
Channel Partners,France, Carretera , Low ,"$2,671.00 ",$3.00 ,$12.00 ,"$32,052.00 ",320.52,"$31,731.48 ","$8,013.00 ",23718.48,9/1/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ,$766.00 ,$3.00 ,$12.00 ,"$9,192.00 ",91.92,"$9,100.08 ","$2,298.00 ",6802.08,10/1/2013,10, October ,2013
Small Business,Mexico, Carretera , Low ,$494.00 ,$3.00 ,$300.00 ,"$148,200.00 ",1482,"$146,718.00 ","$123,500.00 ",23218,10/1/2013,10, October ,2013
Government,Mexico, Carretera , Low ,"$1,397.00 ",$3.00 ,$350.00 ,"$488,950.00 ",4889.5,"$484,060.50 ","$363,220.00 ",120840.5,10/1/2014,10, October ,2014
Government,France, Carretera , Low ,"$2,155.00 ",$3.00 ,$350.00 ,"$754,250.00 ",7542.5,"$746,707.50 ","$560,300.00 ",186407.5,12/1/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ,"$2,214.00 ",$5.00 ,$15.00 ,"$33,210.00 ",332.1,"$32,877.90 ","$22,140.00 ",10737.9,3/1/2014,3, March ,2014
Small Business,United States of America, Montana , Low ,"$2,301.00 ",$5.00 ,$300.00 ,"$690,300.00 ",6903,"$683,397.00 ","$575,250.00 ",108147,4/1/2014,4, April ,2014
Government,France, Montana , Low ,"$1,375.50 ",$5.00 ,$20.00 ,"$27,510.00 ",275.1,"$27,234.90 ","$13,755.00 ",13479.9,7/1/2014,7, July ,2014
Government,Canada, Montana , Low ,"$1,830.00 ",$5.00 ,$7.00 ,"$12,810.00 ",128.1,"$12,681.90 ","$9,150.00 ",3531.9,8/1/2014,8, August ,2014
Small Business,United States of America, Montana , Low ,"$2,498.00 ",$5.00 ,$300.00 ,"$749,400.00 ",7494,"$741,906.00 ","$624,500.00 ",117406,9/1/2013,9, September ,2013
